project_id;description_th
4;ตั้งอยู่ติดถนนรังสิต-นครนายก  จัดแบ่งผังโครงการเพื่อให้ผู้อยู่อาศัยได้สัมผัสกับธรรมชาติของน้ำด้วยคลอง กว้าง 10 เมตร และทะเลสาบ 2 แห่ง สิ่งอำนวยความสะดวกครบ ใกล้สถานศึกษามหาวิทยาลัย เดินทางสะดวกสบายด้วยถนนวงแหวนตะวันออก
24;Balance Your Life เลือกคุณภาพชีวิตสมดุลลงตัวในแบบคุณ
29;
41;บ้านเดี่ยวเล่นระดับ สไตล์ Modren Contemporary ฟังก์ชั่นครบ ตอบสนองการใช้งานอย่างลงตัว ให้คุณใช้ชีวิตสมบูร์แบบท่ามกลางธรรมชาติได้ทุกวัน
44;รูปแบบชีวิตที่มีคุณค่า หรูหรา สง่างาม สะท้อนภาพลักษณ์แห่งความภูมิฐาน หรูหรา มีระดับเหนือใครคุณสามารถสัมผัสถึงความสง่างามได้นับตั้งแต่ก้าวแรกที่มาเยือน ทุกมุมมองของวิถีชีวิตที่เปี่ยมด้วยคุณค่า ในทุกพื้นที่พรั่งพร้อมด้วยประโยชน์ใช้สอย ผสมผสานกับธรรมชาติได้อย่างลงตัวสมบูรณ์แบบที่สุด “ นิยามของความหรูหรา แห่งศตวรรษ ” ทุกช่วงเวลาคุณจะสัมผัสได้ถึงความสดชื่น ร่มรื่นด้วยธรรมชาติแวดล้อมของสายลมเย็นและแสงแดดอบอุ่น ความสุขของชีวิตที่ลงตัวอย่างสมบูรณ์แบบท่ามกลางธรรมชาติ ความรักความอบอุ่นรอคุณอยู่ที่นี่
45;พาร์คเวย์ ชาเล่ต์ โครงการที่มากกว่าความใส่ใจ เพราะ “ทุกคุณภาพเกิดจากความเข้าใจจริง” มอบสิ่งที่ดีที่สุดให้กับคุณ ทั้งสังคมคุณภาพ และสภาพแวดล้อมสมบูรณ์แบบ เน้นพื้นที่สีเขียว ให้คุณได้ผ่อนคลายกับธรรมชาติมากขึ้น พร้อมสิ่งอำนวยความสะดวกและสาธารณูปโภคครบครัน มี Sport Complex ระดับมาตรฐาน สำหรับสมาชิกทุกคนในครอบครัวได้เลือกทำกิจกรรมได้ตามใจชอบ\n\nโครงการคุณภาพบนทำเลเยี่ยมติดถนนรามคำแหง โครงข่ายคมนาคมสะดวกสบายเชื่อมต่อกับถนนเมนหลายสาย ทั้งถนนรามคำแหง รามอินทรา และวงแหวนรอบนอกฝั่งตะวันออก
73;โดดเด่นด้วยสไตล์ Thai Contemporary ที่สวยงามลงดัว 4 ดีไซน์ โอบล้อมด้วยสวนสวย ท่ามกลางบรรยากาศธรรมชาติอันร่มรื่น มากพื้นที่ใช้สอย ครบทุก Function การใช้งาน ห้องนอนใหญ่ มี Walk in Closet ห้องน้ำแยกส่วนเปียก - แห้ง ห้องเก็บของใต้บันได ติดตั้งระบบกำจัดปลวกแบบเดินท่อ ปั้มน้ำ แทงค์เก็บน้ำฝังใต้ดิน ไฟฉุกเฉิน และเครื่องทำน้ำอุ่น สุขใจ...เสมอ บริการหลังการขาย (After Sale Service Center) มีศูนย์บริการจัดหาช่างมาซ่อมอุปกรณ์ต่างๆ ภายในบ้าน หากมีการชำรุด บริการตรวจสุขภาพให้กับสมาชิกทุกครอบครัวโดยหน่วยรถพยาบาลเคลื่อนที่จากโรงพยาบาลชื่อดัง มีกิจกรรมและสันทนาการต่างๆ เพื่อสมาชิกทุกคนในโครงการ เช่น การเต้นแอโรบิค เป็นต้น
95;สำหรับทุกครอบครัวที่ต้องการความเป็นสัดส่วนเพื่อความสุขที่แท้จริงภายในโครงการประกอบด้วยบ้านเดี่ยว บ้านแฝด และทาวน์เฮ้าส์ แบ่งโซนอย่างเป็นระเบียบ 
115;บ้านเดี่ยวที่ดินแปลงใหญ่ในราคาคุ้มค่า บนทำเลถนนบางนา-ตราด ความสุขที่คุณเลือกได้...ใช้ชีวิตอย่างลงตัว...สร้างความสุขให้กับครอบครัวได้ที่นี่
133;ด้วยศักยภาพสูงสุดของพื้นที่สีเขียวรอบโครงการ เพียบพร้อมไปด้วยสิ่งอำนวยความสะดวกอย่างครบครัน เด่นสง่าด้วยรูปลักษณ์ของการออกแบบตัวบ้านและการตกแต่งอย่างประณีตด้วยวัสดุชั้นเยี่ยมเพื่อประโยชน์ในการใช้สอยอย่างสูงสุด ในพื้นที่โครงการกว่า 60 ไร่ พร้อมจัดวางผังโครงการอย่างเป็นระเบียบ สวนสาธารณะบนพื้นที่กว่า 2 ไร่ สโมสรและสระว่ายน้ำติดทะเลสาบขนาดใหญ่ ที่มอบความสุขในทุกอิริยาบถของชีวิต
